state,st,age , income ,healthcare ,poverty ,obesity,smoke
Alabama,AL,38.6,42830,12.1,19.3,33.5,21.1
Alaska,AK,33.3,71583,17.2,11.2,29.7,19.9
Arizona,AZ,36.9,50068,13.6,18.2,28.9,16.9
Arkansas,AR,37.8,41262,11.8,18.9,35.9,24.7
California,CA,36,61933,12.4,16.4,24.7,12.9
Colorado,CO,36.3,61303,10.3,12,21.3,15.7
Connecticut,CT,40.5,70048,6.9,10.8,26.3,15.4
Delaware,DE,39.6,59716,7.8,12.5,30.7,19.9
District of Columbia,DC,33.8,71648,5.3,17.7,21.7,16.4
Florida,FL,41.6,47463,16.6,16.5,26.2,17.7
Georgia,GA,36.1,49321,15.8,18.3,30.5,17.4
Hawaii,HI,38.1,69592,5.3,11.4,22.1,14.1
Idaho,ID,35.9,47861,13.6,14.8,28.9,15.9
Illinois,IL,37.5,57444,9.7,14.4,29.3,16.5
Indiana,IN,37.4,49446,11.9,15.2,32.7,22.9
Iowa,IA,38.2,53712,6.2,12.2,30.9,18.5
Kansas,KS,36.2,52504,10.2,13.6,31.3,18.1
Kentucky,KY,38.5,42958,8.5,19.1,31.6,26.2
Louisiana,LA,36.1,44555,14.8,19.8,34.9,24
Maine,ME,44.1,49462,10.1,14.1,28.2,19.3
Maryland,MD,38.3,73971,7.9,10.1,29.6,14.6
Massachusetts,MA,39.4,69160,3.3,11.6,23.3,14.7
Michigan,MI,39.6,49847,8.5,16.2,30.7,21.2
Minnesota,MN,37.8,61481,5.9,11.5,27.6,16.3
Mississippi,MS,36.7,39680,14.5,21.5,35.5,23
Missouri,MO,38.5,48363,11.7,15.5,30.2,20.6
Montana,MT,39.6,46328,14.2,15.4,26.4,19.9
Nebraska,NE,36.2,52686,9.7,12.4,30.2,17.3
Nevada,NV,37.4,51450,15.2,15.2,27.7,17
New Hampshire,NH,42.5,66532,9.2,9.2,27.4,17.5
New Jersey,NJ,39.4,71919,10.9,11.1,26.9,15.1
New Mexico,NM,37.2,44803,14.5,21.3,28.4,19.2
New York,NY,38.2,58878,8.7,15.9,27,14.4
North Carolina,NC,38.3,46556,13.1,17.2,29.7,19.1
North Dakota,ND,35.1,59029,7.9,11.5,32.2,19.9
Ohio,OH,39.4,49308,8.4,15.8,32.6,21
Oklahoma,OK,36.2,47529,15.4,16.6,33,21.1
Oregon,OR,39.3,51075,9.7,16.6,27.9,17
Pennsylvania,PA,40.7,53234,8.5,13.6,30.2,19.9
Rhode Island,RI,39.8,54891,7.4,14.3,27,16.3
South Carolina,SC,38.8,45238,13.6,18,32.1,21.5
South Dakota,SD,36.6,50979,9.8,14.2,29.8,18.6
Tennessee,TN,38.6,44361,12,18.3,31.2,24.2
Texas,TX,34.3,53035,19.1,17.2,31.9,14.5
Utah,UT,30.5,60922,12.5,11.7,25.7,9.7
Vermont,VT,42.8,54166,5,12.2,24.8,16.4
Virginia,VA,37.7,64902,10.9,11.8,28.5,19.5
Washington,WA,37.5,61366,9.2,13.2,27.3,15.3
West Virginia,WV,41.9,41059,8.6,18.3,35.7,26.7
Wisconsin,WI,39.2,52622,7.3,13.2,31.2,17.4
Wyoming,WY,36.6,57055,12,11.2,29.5,19.5